Managed assemblies under bin\Addins NOT in bin\: 70

==== CLARION/SOFTVELOCITY-RELEVANT (candidates to add) ====
  clarion.gen                                types=591   ns=__Clarion
  ClarionParser                              types=590   ns=SoftVelocity.Common
  CommonSources                              types=399   ns=SoftVelocity.Common
  CommonControl                              types=322   ns=SoftVelocity.ClarionNet
  ListControl                                types=301   ns=SoftVelocity.ClarionNet
  DataDictionaryEditor                       types=296   ns=SoftVelocity.DataDictionary
  ClarionNetReport                           types=227   ns=SoftVelocity.ClarionNet
  DataDictionaryFile                         types=205   ns=SoftVelocity.DataDictionary
  Generator                                  types=192   ns=SoftVelocity.Generator
  DataDictionary                             types=175   ns=SoftVelocity.DataDictionary
  SoftVelocity.DataDictionary.Design         types=143   ns=SoftVelocity.DataDictionary
  CWBinding                                  types=101   ns=CWBinding.ProjectTreeBuilder
  OleControl                                 types=78    ns=SoftVelocity.ClarionNet
  ClarionNetWindow                           types=49    ns=SoftVelocity.ClarionNet
  Browser                                    types=45    ns=SoftVelocity.DataBrowser
  CommonProperties                           types=35    ns=SoftVelocity.ClarionNet
  SheetControl                               types=33    ns=SoftVelocity.ClarionNet
  DictionaryDiagram                          types=30    ns=SoftVelocity.DataDictionary
  SoftVelocity.ExceptionLogViewer            types=27    ns=SoftVelocity.ExceptionLogViewer
  WindowPreviewer                            types=23    ns=SoftVelocity.Clarion
  TabOrderAssistant                          types=22    ns=SoftVelocity.FormDesigner
  MenubarControl                             types=21    ns=SoftVelocity.ClarionNet
  StringControl                              types=19    ns=SoftVelocity.ClarionNet
  FormulaEditor                              types=17    ns=SoftVelocity.Generator
  GroupControl                               types=16    ns=SoftVelocity.ClarionNet
  LineControl                                types=15    ns=SoftVelocity.ClarionNet
  CheckControl                               types=10    ns=SoftVelocity.ClarionNet
  BinaryToText                               types=9     ns=SoftVelocity.BinaryToText
  SpinControl                                types=9     ns=SoftVelocity.ClarionNet
  TextControl                                types=8     ns=SoftVelocity.ClarionNet
  ImageControl                               types=6     ns=SoftVelocity.ClarionNet
  SliderControl                              types=6     ns=SoftVelocity.ClarionNet
  BoxControl                                 types=5     ns=SoftVelocity.ClarionNet
  EllipseControl                             types=5     ns=SoftVelocity.ClarionNet
  PanelControl                               types=5     ns=SoftVelocity.ClarionNet
  ProgressControl                            types=5     ns=SoftVelocity.ClarionNet
  RadioControl                               types=5     ns=SoftVelocity.ClarionNet
  ToolbarControl                             types=5     ns=SoftVelocity.ClarionNet
  ButtonControl                              types=3     ns=SoftVelocity.ClarionNet
  EntryControl                               types=3     ns=SoftVelocity.ClarionNet
  PromptControl                              types=3     ns=SoftVelocity.ClarionNet
  SoftVelocity.AssemblyResolve               types=2     ns=SoftVelocity

==== OTHER (generic controls / third-party — likely skip) ====
  SharpSvn                                   types=531   ns=SharpSvn
  Ddc                                        types=387   ns=MindFusion.Diagramming
  ComponentInspector.Core                    types=257   ns=NoGoop.ObjBrowser
  Ddp                                        types=226   ns=MindFusion.Pdf
  ICSharpCode.SharpZipLib                    types=99    ns=ICSharpCode.SharpZipLib
  FormsDesigner                              types=87    ns=ICSharpCode.FormsDesigner
  XmlEditor                                  types=79    ns=ICSharpCode.XmlEditor
  MSHelpServices                             types=78    ns=MSHelpServices
  SubversionAddIn                            types=71    ns=ICSharpCode.Svn
  SharedSources                              types=63    ns=MindFusion.Drawing
  ClassCanvas                                types=61    ns=ClassDiagram
  HtmlHelp2                                  types=49    ns=HtmlHelp2
  ObjectListView                             types=47    ns=StableSortLists
  ImageViewerAddIn                           types=40    ns=TAFactory.IconPack
  HighlightingEditor                         types=37    ns=ICSharpCode.SharpDevelop
  Diagrams                                   types=30    ns=Tools.Diagrams
  ClassDiagramAddin                          types=27    ns=ClassDiagramAddin
  AnyScreenAddin                             types=24    ns=AnyScreen
  MSHelpControls                             types=24    ns=MSHelpControls
  stdole                                     types=24    ns=stdole
  SharpSvn.UI                                types=20    ns=SharpSvn.UI
  ICSharpCode.AddInManager                   types=18    ns=ICSharpCode.AddInManager
  ClassEditor                                types=14    ns=ClassDiagram
  ComponentInspector.AddIn                   types=8     ns=ICSharpCode.ComponentInspector
  AddinScout                                 types=7     ns=AddInScout
  HtmlHelp2JScriptGlobals                    types=7     ns=HtmlHelp2.JScriptGlobals
  ICSharpCode.FiletypeRegisterer             types=6     ns=ICSharpCode.FiletypeRegisterer
  RegExpTk                                   types=5     ns=Plugins.RegExpTk
